position_px_x-darkorange,position_px_y-darkorange,position_px_x-green,position_px_y-green,position_px_x-hotpink,position_px_y-hotpink
,,,,,
566,857,,,,
561,864,,,,
558,866,,,,
557,868,,,,
698,784,612,637,555,871
696,785,609,639,553,873
693,786,606,641,550,875
691,788,603,643,548,877
688,789,599,645,547,879
685,791,595,646,544,882
682,791,592,649,542,884
680,793,589,649,540,886
677,794,585,651,538,887
674,795,581,652,535,889
671,796,578,654,533,892
669,797,575,656,530,893
666,799,572,657,529,895
663,800,569,659,526,897
661,801,565,660,524,899
658,801,562,661,522,900
655,802,558,663,520,902
653,802,555,664,517,903
650,803,551,665,515,905
647,805,548,667,512,907
644,805,544,669,510,908
641,806,541,670,507,910
638,807,537,671,505,911
635,808,534,672,502,913
632,808,530,673,500,914
629,808,527,674,497,915
626,809,522,675,495,916
624,809,519,675,492,917
620,810,516,677,490,919
617,810,512,678,488,919
614,811,509,679,485,921
611,811,504,680,482,922
609,812,501,681,480,923
605,812,498,681,477,923
602,812,494,682,475,924
599,812,490,682,472,925
596,812,486,683,470,926
593,812,483,684,467,927
590,812,479,685,464,927
586,812,475,685,461,928
583,812,471,685,459,929
580,812,467,686,456,929
577,811,464,687,454,930
574,811,460,687,450,930
570,811,456,687,448,930
567,811,452,687,445,930
564,810,449,688,443,931
561,811,445,688,440,932
558,810,441,688,437,932
554,810,438,688,435,932
551,809,434,688,432,932
548,809,430,689,429,932
545,808,426,688,427,932
542,808,422,688,424,932
538,807,419,688,420,932
535,806,415,688,418,932
532,806,411,688,415,932
528,805,407,688,412,932
526,805,403,688,411,932
522,804,399,688,407,932
519,803,395,688,405,931
515,802,392,688,401,931
513,801,388,688,399,931
509,801,385,688,397,931
506,799,381,688,393,930
502,798,377,688,391,929
499,798,373,687,388,930
497,797,369,687,385,929
493,795,365,686,383,929
490,795,362,685,380,928
486,793,358,684,378,927
484,792,354,685,375,926
480,791,351,685,372,925
478,790,347,684,370,926
474,789,343,683,367,924
471,788,339,682,364,925
468,787,336,682,362,924
465,786,332,682,360,923
461,784,329,682,357,922
458,783,325,680,355,921
456,782,321,680,352,921
453,780,318,679,350,920
450,779,314,679,347,919
447,778,311,679,345,919
443,777,307,678,342,918
441,776,304,677,341,917
437,775,300,676,337,916
435,773,297,675,335,915
432,771,294,675,334,915
429,771,291,675,331,913
