frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,167.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,29,191,,,,,,
1,167.7,8,566,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,277.0,11,561,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,300.8,11,558,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,326.7,11,557,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,336.1,6,698,784,,,,,,,8,612,637,,,,,,,8,555,871,,,,,,,,,,,,,,,
6,349.9,7,696,785,,,,,,,9,609,639,,,,,,,8,553,873,,,,,,,,,,,,,,,
7,359.6,7,693,786,,,,,,,8,606,641,,,,,,,8,550,875,,,,,,,,,,,,,,,
8,370.2,7,691,788,,,,,,,9,603,643,,,,,,,8,548,877,,,,,,,,,,,,,,,
9,379.7,7,688,789,,,,,,,9,599,645,,,,,,,8,547,879,,,,,,,,,,,,,,,
10,389.9,7,685,791,,,,,,,9,595,646,,,,,,,8,544,882,,,,,,,,,,,,,,,
11,399.6,7,682,791,,,,,,,9,592,649,,,,,,,8,542,884,,,,,,,,,,,,,,,
12,418.5,7,680,793,,,,,,,9,589,649,,,,,,,8,540,886,,,,,,,,,,,,,,,
13,452.2,7,677,794,,,,,,,8,585,651,,,,,,,8,538,887,,,,,,,,,,,,,,,
14,482.7,7,674,795,,,,,,,8,581,652,,,,,,,8,535,889,,,,,,,,,,,,,,,
15,518.5,7,671,796,,,,,,,8,578,654,,,,,,,8,533,892,,,,,,,,,,,,,,,
16,550.5,7,669,797,,,,,,,8,575,656,,,,,,,8,530,893,,,,,,,,,,,,,,,
17,582.6,7,666,799,,,,,,,9,572,657,,,,,,,8,529,895,,,,,,,,,,,,,,,
18,618.1,7,663,800,,,,,,,9,569,659,,,,,,,8,526,897,,,,,,,,,,,,,,,
19,660.5,7,661,801,,,,,,,9,565,660,,,,,,,8,524,899,,,,,,,,,,,,,,,
20,682.6,7,658,801,,,,,,,9,562,661,,,,,,,8,522,900,,,,,,,,,,,,,,,
21,720.9,7,655,802,,,,,,,8,558,663,,,,,,,8,520,902,,,,,,,,,,,,,,,
22,753.7,7,653,802,,,,,,,8,555,664,,,,,,,8,517,903,,,,,,,,,,,,,,,
23,782.6,7,650,803,,,,,,,8,551,665,,,,,,,8,515,905,,,,,,,,,,,,,,,
24,818.5,7,647,805,,,,,,,8,548,667,,,,,,,8,512,907,,,,,,,,,,,,,,,
25,850.2,7,644,805,,,,,,,8,544,669,,,,,,,8,510,908,,,,,,,,,,,,,,,
26,882.7,7,641,806,,,,,,,8,541,670,,,,,,,8,507,910,,,,,,,,,,,,,,,
27,918.3,7,638,807,,,,,,,8,537,671,,,,,,,8,505,911,,,,,,,,,,,,,,,
28,951.0,7,635,808,,,,,,,9,534,672,,,,,,,8,502,913,,,,,,,,,,,,,,,
29,982.2,7,632,808,,,,,,,8,530,673,,,,,,,8,500,914,,,,,,,,,,,,,,,
30,1024.3,7,629,808,,,,,,,9,527,674,,,,,,,8,497,915,,,,,,,,,,,,,,,
31,1050.3,7,626,809,,,,,,,9,522,675,,,,,,,8,495,916,,,,,,,,,,,,,,,
32,1082.3,7,624,809,,,,,,,9,519,675,,,,,,,8,492,917,,,,,,,,,,,,,,,
33,1118.6,7,620,810,,,,,,,8,516,677,,,,,,,8,490,919,,,,,,,,,,,,,,,
34,1150.4,7,617,810,,,,,,,9,512,678,,,,,,,8,488,919,,,,,,,,,,,,,,,
35,1183.3,7,614,811,,,,,,,9,509,679,,,,,,,8,485,921,,,,,,,,,,,,,,,
36,1218.4,7,611,811,,,,,,,9,504,680,,,,,,,8,482,922,,,,,,,,,,,,,,,
37,1252.2,7,609,812,,,,,,,9,501,681,,,,,,,8,480,923,,,,,,,,,,,,,,,
38,1285.2,7,605,812,,,,,,,9,498,681,,,,,,,8,477,923,,,,,,,,,,,,,,,
39,1318.3,7,602,812,,,,,,,8,494,682,,,,,,,8,475,924,,,,,,,,,,,,,,,
40,1350.2,7,599,812,,,,,,,8,490,682,,,,,,,7,472,925,,,,,,,,,,,,,,,
41,1382.4,7,596,812,,,,,,,8,486,683,,,,,,,8,470,926,,,,,,,,,,,,,,,
42,1418.0,7,593,812,,,,,,,8,483,684,,,,,,,8,467,927,,,,,,,,,,,,,,,
43,1450.4,7,590,812,,,,,,,9,479,685,,,,,,,8,464,927,,,,,,,,,,,,,,,
44,1482.2,7,586,812,,,,,,,8,475,685,,,,,,,8,461,928,,,,,,,,,,,,,,,
45,1518.8,7,583,812,,,,,,,8,471,685,,,,,,,8,459,929,,,,,,,,,,,,,,,
46,1550.6,7,580,812,,,,,,,9,467,686,,,,,,,8,456,929,,,,,,,,,,,,,,,
47,1582.2,7,577,811,,,,,,,9,464,687,,,,,,,8,454,930,,,,,,,,,,,,,,,
48,1618.1,7,574,811,,,,,,,8,460,687,,,,,,,8,450,930,,,,,,,,,,,,,,,
49,1650.4,7,570,811,,,,,,,9,456,687,,,,,,,8,448,930,,,,,,,,,,,,,,,
50,1682.4,7,567,811,,,,,,,8,452,687,,,,,,,8,445,930,,,,,,,,,,,,,,,
51,1717.9,7,564,810,,,,,,,9,449,688,,,,,,,7,443,931,,,,,,,,,,,,,,,
52,1750.2,7,561,811,,,,,,,8,445,688,,,,,,,8,440,932,,,,,,,,,,,,,,,
53,1782.7,7,558,810,,,,,,,8,441,688,,,,,,,8,437,932,,,,,,,,,,,,,,,
54,1818.0,7,554,810,,,,,,,9,438,688,,,,,,,8,435,932,,,,,,,,,,,,,,,
55,1850.1,7,551,809,,,,,,,9,434,688,,,,,,,8,432,932,,,,,,,,,,,,,,,
56,1882.3,7,548,809,,,,,,,8,430,689,,,,,,,8,429,932,,,,,,,,,,,,,,,
57,1920.9,7,545,808,,,,,,,9,426,688,,,,,,,8,427,932,,,,,,,,,,,,,,,
58,1950.2,7,542,808,,,,,,,9,422,688,,,,,,,8,424,932,,,,,,,,,,,,,,,
59,1982.1,7,538,807,,,,,,,9,419,688,,,,,,,8,420,932,,,,,,,,,,,,,,,
60,2017.8,7,535,806,,,,,,,9,415,688,,,,,,,8,418,932,,,,,,,,,,,,,,,
61,2051.5,7,532,806,,,,,,,8,411,688,,,,,,,8,415,932,,,,,,,,,,,,,,,
62,2082.1,7,528,805,,,,,,,9,407,688,,,,,,,7,412,932,,,,,,,,,,,,,,,
63,2118.3,7,526,805,,,,,,,9,403,688,,,,,,,8,411,932,,,,,,,,,,,,,,,
64,2150.1,7,522,804,,,,,,,9,399,688,,,,,,,8,407,932,,,,,,,,,,,,,,,
65,2182.2,7,519,803,,,,,,,9,395,688,,,,,,,8,405,931,,,,,,,,,,,,,,,
66,2218.5,7,515,802,,,,,,,8,392,688,,,,,,,8,401,931,,,,,,,,,,,,,,,
67,2250.1,7,513,801,,,,,,,9,388,688,,,,,,,7,399,931,,,,,,,,,,,,,,,
68,2282.0,7,509,801,,,,,,,9,385,688,,,,,,,8,397,931,,,,,,,,,,,,,,,
69,2317.9,7,506,799,,,,,,,9,381,688,,,,,,,8,393,930,,,,,,,,,,,,,,,
70,2350.0,7,502,798,,,,,,,9,377,688,,,,,,,8,391,929,,,,,,,,,,,,,,,
71,2382.3,7,499,798,,,,,,,9,373,687,,,,,,,8,388,930,,,,,,,,,,,,,,,
72,2418.0,8,497,797,,,,,,,9,369,687,,,,,,,8,385,929,,,,,,,,,,,,,,,
73,2450.1,7,493,795,,,,,,,9,365,686,,,,,,,8,383,929,,,,,,,,,,,,,,,
74,2482.3,7,490,795,,,,,,,8,362,685,,,,,,,7,380,928,,,,,,,,,,,,,,,
75,2518.0,7,486,793,,,,,,,9,358,684,,,,,,,8,378,927,,,,,,,,,,,,,,,
76,2550.1,7,484,792,,,,,,,9,354,685,,,,,,,8,375,926,,,,,,,,,,,,,,,
77,2582.3,7,480,791,,,,,,,9,351,685,,,,,,,8,372,925,,,,,,,,,,,,,,,
78,2619.5,7,478,790,,,,,,,9,347,684,,,,,,,8,370,926,,,,,,,,,,,,,,,
79,2650.3,7,474,789,,,,,,,9,343,683,,,,,,,8,367,924,,,,,,,,,,,,,,,
80,2682.2,8,471,788,,,,,,,9,339,682,,,,,,,7,364,925,,,,,,,,,,,,,,,
81,2718.5,7,468,787,,,,,,,9,336,682,,,,,,,8,362,924,,,,,,,,,,,,,,,
82,2750.0,7,465,786,,,,,,,8,332,682,,,,,,,8,360,923,,,,,,,,,,,,,,,
83,2782.0,7,461,784,,,,,,,9,329,682,,,,,,,8,357,922,,,,,,,,,,,,,,,
84,2818.4,7,458,783,,,,,,,9,325,680,,,,,,,7,355,921,,,,,,,,,,,,,,,
85,2857.8,7,456,782,,,,,,,9,321,680,,,,,,,7,352,921,,,,,,,,,,,,,,,
86,2885.2,7,453,780,,,,,,,9,318,679,,,,,,,8,350,920,,,,,,,,,,,,,,,
87,2917.8,7,450,779,,,,,,,9,314,679,,,,,,,7,347,919,,,,,,,,,,,,,,,
88,2950.1,7,447,778,,,,,,,9,311,679,,,,,,,7,345,919,,,,,,,,,,,,,,,
89,2982.3,7,443,777,,,,,,,9,307,678,,,,,,,7,342,918,,,,,,,,,,,,,,,
90,3017.9,7,441,776,,,,,,,9,304,677,,,,,,,8,341,917,,,,,,,,,,,,,,,
91,3052.7,7,437,775,,,,,,,9,300,676,,,,,,,7,337,916,,,,,,,,,,,,,,,
92,3082.4,8,435,773,,,,,,,9,297,675,,,,,,,7,335,915,,,,,,,,,,,,,,,
93,3118.0,7,432,771,,,,,,,9,294,675,,,,,,,8,334,915,,,,,,,,,,,,,,,
94,3149.9,7,429,771,,,,,,,9,291,675,,,,,,,7,331,913,,,,,,,,,,,,,,,
95,3182.6,7,426,769,,,,,,,9,287,674,,,,,,,7,329,913,,,,,,,,,,,,,,,
96,3218.2,8,424,768,,,,,,,9,283,673,,,,,,,8,327,912,,,,,,,,,,,,,,,
97,3250.0,7,420,766,,,,,,,9,280,673,,,,,,,8,324,911,,,,,,,,,,,,,,,
98,3282.2,7,418,766,,,,,,,9,277,673,,,,,,,7,322,910,,,,,,,,,,,,,,,
99,3318.3,7,416,764,,,,,,,9,274,672,,,,,,,7,320,910,,,,,,,,,,,,,,,
100,3353.7,7,412,762,,,,,,,9,271,671,,,,,,,8,319,908,,,,,,,,,,,,,,,
101,3388.2,7,410,761,,,,,,,9,267,671,,,,,,,8,317,907,,,,,,,,,,,,,,,
102,3418.6,7,408,760,,,,,,,9,264,670,,,,,,,7,314,907,,,,,,,,,,,,,,,
103,3454.1,7,405,759,,,,,,,9,262,670,,,,,,,7,312,905,,,,,,,,,,,,,,,
104,3482.5,7,402,757,,,,,,,9,259,669,,,,,,,8,311,904,,,,,,,,,,,,,,,
105,3518.1,7,399,756,,,,,,,9,255,668,,,,,,,7,308,904,,,,,,,,,,,,,,,
106,3550.1,7,397,754,,,,,,,9,252,667,,,,,,,8,306,903,,,,,,,,,,,,,,,
107,3584.3,7,394,753,,,,,,,9,249,667,,,,,,,8,305,902,,,,,,,,,,,,,,,
108,3618.0,7,391,752,,,,,,,9,246,666,,,,,,,7,302,901,,,,,,,,,,,,,,,
109,3650.3,7,389,751,,,,,,,9,243,665,,,,,,,7,300,900,,,,,,,,,,,,,,,
110,3682.1,7,387,750,,,,,,,9,241,665,,,,,,,8,299,899,,,,,,,,,,,,,,,
111,3718.3,7,385,748,,,,,,,9,238,664,,,,,,,7,297,898,,,,,,,,,,,,,,,
112,3753.2,7,383,747,,,,,,,9,235,664,,,,,,,7,296,897,,,,,,,,,,,,,,,
113,3782.1,7,380,746,,,,,,,10,233,664,,,,,,,7,294,896,,,,,,,,,,,,,,,
114,3818.2,7,379,745,,,,,,,9,230,662,,,,,,,7,293,896,,,,,,,,,,,,,,,
115,3853.2,7,376,744,,,,,,,9,227,662,,,,,,,7,290,895,,,,,,,,,,,,,,,
116,3882.2,7,373,742,,,,,,,9,224,661,,,,,,,7,289,894,,,,,,,,,,,,,,,
117,3918.0,7,371,741,,,,,,,9,222,661,,,,,,,7,287,893,,,,,,,,,,,,,,,
118,3950.2,8,370,740,,,,,,,9,219,660,,,,,,,8,287,893,,,,,,,,,,,,,,,
119,3982.7,7,367,738,,,,,,,9,217,660,,,,,,,7,284,891,,,,,,,,,,,,,,,
120,4018.3,7,366,738,,,,,,,9,215,660,,,,,,,7,284,891,,,,,,,,,,,,,,,
121,4050.3,7,364,736,,,,,,,9,212,659,,,,,,,7,282,890,,,,,,,,,,,,,,,
122,4082.3,7,362,735,,,,,,,9,210,658,,,,,,,7,281,889,,,,,,,,,,,,,,,
123,4118.6,7,360,734,,,,,,,9,209,658,,,,,,,7,280,888,,,,,,,,,,,,,,,
124,4150.2,7,358,733,,,,,,,9,206,657,,,,,,,7,279,887,,,,,,,,,,,,,,,
125,4185.2,7,358,733,,,,,,,10,205,658,,,,,,,7,278,887,,,,,,,,,,,,,,,
126,4221.2,7,355,732,,,,,,,10,203,657,,,,,,,8,276,885,,,,,,,,,,,,,,,
127,4249.9,7,354,731,,,,,,,9,200,656,,,,,,,8,275,885,,,,,,,,,,,,,,,
128,4284.6,7,352,729,,,,,,,9,198,655,,,,,,,7,275,885,,,,,,,,,,,,,,,
129,4318.1,8,351,728,,,,,,,9,197,655,,,,,,,8,274,884,,,,,,,,,,,,,,,
130,4350.3,7,349,727,,,,,,,9,195,654,,,,,,,8,273,883,,,,,,,,,,,,,,,
131,4389.2,7,348,726,,,,,,,9,194,654,,,,,,,7,272,882,,,,,,,,,,,,,,,
132,4418.0,7,347,725,,,,,,,9,192,654,,,,,,,7,272,882,,,,,,,,,,,,,,,
133,4454.4,8,346,725,,,,,,,9,191,654,,,,,,,8,271,881,,,,,,,,,,,,,,,
134,4482.4,7,344,724,,,,,,,9,189,654,,,,,,,7,270,881,,,,,,,,,,,,,,,
135,4518.5,7,343,723,,,,,,,9,187,653,,,,,,,8,270,879,,,,,,,,,,,,,,,
136,4550.1,7,342,722,,,,,,,10,186,654,,,,,,,7,269,879,,,,,,,,,,,,,,,
137,4582.1,7,341,721,,,,,,,9,185,652,,,,,,,7,269,879,,,,,,,,,,,,,,,
138,4618.8,7,340,721,,,,,,,9,184,652,,,,,,,7,269,878,,,,,,,,,,,,,,,
139,4653.5,8,339,719,,,,,,,9,182,651,,,,,,,7,268,877,,,,,,,,,,,,,,,
140,4687.0,7,339,718,,,,,,,9,181,651,,,,,,,7,268,877,,,,,,,,,,,,,,,
141,4717.9,7,338,718,,,,,,,9,180,652,,,,,,,7,268,876,,,,,,,,,,,,,,,
142,4750.1,8,337,718,,,,,,,9,179,651,,,,,,,7,268,876,,,,,,,,,,,,,,,
