frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,149.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,48,382,3.2684082642170593,26.011082436060764,,,,,,,,,,,,,
1,149.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,47,382,3.2003164253792042,26.011082436060764,,,,,,,,,,,,,
2,251.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,17,485,,,,,,,,,,,,,,,
3,274.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,989,946,67.34282861063899,64.41487954061121,,,,,,,,,,,,,
4,298.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,936,293,63.73396115223266,19.950908779491634,,,,,,,,,,,,,
5,307.2,14,1087,786,74.01582881674882,53.52018532655435,,,,,13,271,804,18.452888325058815,54.745838425635746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,316.6,15,1087,786,74.01582881674882,53.52018532655435,,,,,13,271,804,18.452888325058815,54.745838425635746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,330.0,14,1087,787,74.01582881674882,53.588277165392206,,,,,14,271,804,18.452888325058815,54.745838425635746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,339.4,15,1087,787,74.01582881674882,53.588277165392206,0.0,1.1249464202051263,0.0,-61.47248197842217,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,349.1,14,1087,786,74.01582881674882,53.52018532655435,0.0,0.40992586130043634,0.0,25.22620684925762,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,358.4,14,1087,786,74.01582881674882,53.52018532655435,0.0,-1.8003031271684902,0.0,42.063157176833876,13,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,376.0,15,1087,787,74.01582881674882,53.588277165392206,0.0,0.0,0.0,0.0,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,408.1,14,1087,787,74.01582881674882,53.588277165392206,0.0,0.7271908828653942,0.0,-14.471460355530233,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,444.0,14,1087,786,74.01582881674882,53.52018532655435,0.0,0.3145280808852357,0.0,7.348786936570926,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,476.0,14,1087,787,74.01582881674882,53.588277165392206,0.0,0.0,0.0,0.0,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,508.6,14,1087,787,74.01582881674882,53.588277165392206,0.0,-0.34336395071564574,0.0,-6.833113447077527,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,543.9,15,1087,787,74.01582881674882,53.588277165392206,0.0,0.001361838138595577,0.0,-13.61838138595311,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,578.2,15,1087,787,74.01582881674882,53.588277165392206,0.0,0.0,0.0,0.0,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,608.2,14,1087,786,74.01582881674882,53.52018532655435,0.0,-0.3431938061908134,0.0,6.836530003801066,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,644.0,14,1087,786,74.01582881674882,53.52018532655435,0.0,-0.0027074155232968272,0.0,13.537077616484734,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,679.9,15,1087,787,74.01582881674882,53.588277165392206,0.0,0.0,0.0,0.0,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,708.6,14,1087,786,74.01582881674882,53.52018532655435,0.0,0.3431938061908134,0.0,6.836530003801066,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,744.5,14,1087,787,74.01582881674882,53.588277165392206,0.0,0.34456330762506765,0.0,-6.626217454328224,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,776.1,15,1087,787,74.01582881674882,53.588277165392206,0.0,0.0,0.0,0.0,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
