frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,148.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1067,759,72.65399203999172,51.68170567793225,,,,,,,,,,,,,
1,148.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,33,520,2.2470306816492283,35.40775619568481,,,,,,,,,,,,,
2,229.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,781,906,,,,,,,,,,,,,,,
3,249.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,383,1020,26.07917427489862,69.45367561461251,,,,,,,,,,,,,
4,266.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,975,555,66.38954286690903,37.79097055500975,,,,,,,,,,,,,
5,277.0,14,1087,786,74.01582881674882,53.52018532655435,,,,,14,271,803,18.452888325058815,54.67774658679789,,,,,,,,,,,,,,,,,,,,,,,12,259,373,17.63578625900455,25.398255886520065,,,,
6,289.2,14,1087,786,74.01582881674882,53.52018532655435,,,,,14,271,804,18.452888325058815,54.745838425635746,,,,,,,,,,,,,,,,,,,,,,,12,255,374,17.363418903653127,25.46634772535792,,,,
7,298.8,14,1087,787,74.01582881674882,53.588277165392206,,,,,14,271,804,18.452888325058815,54.745838425635746,,,,,,,,,,,,,,,,,,,,,,,12,253,376,17.227235225977417,25.602531403033634,,,,
8,308.8,14,1087,787,74.01582881674882,53.588277165392206,0.0,1.188919383323651,0.0,-59.895183038974906,14,271,804,18.452888325058815,54.745838425635746,0.0,1.4820868804017393,0.0,-41.45697567557314,12,238,486,16.205857643409587,33.092633675197725,,,,,,,,,,,,,,12,248,379,16.88677603178814,25.8068069195472,-20.407300643511405,13.583201235659232,197.8918293436702,46.269463760985786
9,319.5,14,1087,786,74.01582881674882,53.52018532655435,0.0,0.0,0.0,0.0,14,271,803,18.452888325058815,54.67774658679789,0.0,-1.5221027039114732,0.0,47.86486490287653,7,242,488,16.478224998761007,33.228817352873435,,,,,,,,,,,,,,12,243,383,16.546316837598862,26.07917427489862,-22.157235603180588,17.767836725821137,317.4804807325911,-162.20870883751815
10,345.2,14,1087,786,74.01582881674882,53.52018532655435,0.0,-0.7886147835288496,0.0,29.262144101255995,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,10,239,488,16.273949482247442,33.228817352873435,,,,,,,,,,,,,,12,237,390,16.137765804571732,26.55581714676361,-16.697605757730585,15.764550278241858,292.34218401362426,-206.0517713469391
11,380.3,14,1087,786,74.01582881674882,53.52018532655435,0.0,-0.5487066240846173,0.0,11.290259754827519,14,271,804,18.452888325058815,54.745838425635746,0.0,-0.2969065351420626,0.0,-8.305077906071682,,,,,,,,,,,,,,,,,,,12,234,395,15.933490288058165,26.896276340952884,-7.088079666900183,10.2638386610637,174.67379237972062,-139.11876654687478
12,413.4,14,1087,786,74.01582881674882,53.52018532655435,0.0,0.0,0.0,0.0,14,271,804,18.452888325058815,54.745838425635746,0.0,0.044914553050222,0.0,-14.48856550007152,10,240,486,16.342041321085297,33.092633675197725,-1.4068262670579537,-0.41907839633980076,0.9260732587674149,21.964366564798365,,,,,,,,,,12,233,397,15.86539844922031,27.032460018628598,-2.0953919816990902,6.5552909670119295,109.82183282399038,-76.61015716480797
