frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,130.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,43,409,,,,,,,,,,,,,,,
1,130.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,44,410,,,,,,,,,,,,,,,
2,228.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,110,425,,,,,,,,,,,,,,,
3,252.3,14,1090,786,74.2201043332624,53.52018532655435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,158,742,10.758510536381154,50.52414441768871,,,,
4,269.7,14,1090,786,74.2201043332624,53.52018532655435,,,,,,,,,,,,,,13,187,805,12.73317386267896,54.813930264473605,,,,,,,,,,,,,,12,159,743,10.826602375219009,50.59223625652657,,,,
5,280.9,15,1090,787,74.2201043332624,53.588277165392206,,,,,,,,,,,,,,13,187,805,12.73317386267896,54.813930264473605,,,,,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,,,,
6,294.6,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.8261706785518782,0.0,-37.04801249111564,,,,,,,,,,11,184,801,12.528898346165395,54.54156290912218,,,,,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.826170678551835,0.0,-37.04801249111371,0.0
7,305.3,15,1090,787,74.2201043332624,53.588277165392206,0.0,1.0972209783803488,0.0,-45.812984483521895,,,,,,,,,,12,185,802,12.59699018500325,54.609654747960036,-0.982301163127319,-1.473451744691004,159.7237663621662,239.58564954325348,,,,,,,,,,12,158,742,10.758510536381154,50.52414441768871,-0.4911505815636595,-1.0972209783803488,79.8618831810831,45.812984483521895
8,324.9,14,1090,786,74.2201043332624,53.52018532655435,0.0,-0.8760246434671611,0.0,30.52350674101605,,,,,,,,,,11,184,801,12.528898346165395,54.54156290912218,-1.0838184674064695,-1.4450912898753305,161.76395035917417,215.68526714557115,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,-0.5147518209982922,0.0,-23.39781004537692,0.0
9,339.2,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,11,184,802,12.528898346165395,54.609654747960036,1.0112918734798475,1.9696354282473352,45.34941136680934,19.86155086767528,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,-0.33709729115994913,0.0,-15.116470455603114,0.0
