frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,137.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1071,760,72.92635939534314,51.74979751677011,,,,,,,,,,,,,
1,137.2,12,776,22,,,,,,,,,,,,,,,,,,,,,,,,,53,740,749,50.387960740013,51.0007872895537,,,,,,,,,,,,,
2,247.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,37,887,,,,,,,,,,,,,,,
3,268.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,817,631,55.631032330527866,42.965950306686764,,,,,,,,,,,,,
4,285.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,219,561,14.912112705490333,38.19952158803688,,,,,,,,,,,,,
5,294.6,14,1086,786,73.94773697791096,53.52018532655435,,,,,14,271,804,18.452888325058815,54.745838425635746,,,,,,,,,,,,,,,,,,,,,,,12,175,622,11.916071796624696,42.353123757146065,,,,
6,306.3,15,1086,786,73.94773697791096,53.52018532655435,,,,,14,271,804,18.452888325058815,54.745838425635746,,,,,13,187,704,12.73317386267896,47.9366545418502,,,,,,,,,,,,,,12,176,620,11.98416363546255,42.216940079470355,,,,
7,321.8,15,1086,786,73.94773697791096,53.52018532655435,,,,,14,271,804,18.452888325058815,54.745838425635746,,,,,13,188,700,12.801265701516817,47.66428718649878,,,,,,,,,,,,,,12,176,617,11.98416363546255,42.012664562956786,,,,
8,331.2,15,1086,786,73.94773697791096,53.52018532655435,0.0,0.0,0.0,0.0,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,13,188,697,12.801265701516817,47.46001166998522,,,,,,,,,,,,,,12,177,614,12.052255474300408,41.80838904644322,2.724183821695151,-14.223046818847664,-54.463480249738055,36.08826350894886
9,339.3,14,1086,786,73.94773697791096,53.52018532655435,0.0,0.0,0.0,0.0,14,271,804,18.452888325058815,54.745838425635746,0.0,0.0,0.0,0.0,12,188,693,12.801265701516817,47.18764431463379,2.2195161981293317,-18.54831673835959,9.462251056769661,251.4522954096293,,,,,,,,,,12,177,610,12.052255474300408,41.5360216910918,1.964457005039648,-16.838918926409747,-5.9958818577566095,229.99828063734853
