frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,143.2,,,,,,,,,,,,,,,,,,,31,854,1008,76.52596636366754,90.32573078990266,,,,
1,143.2,8,889,916,79.66227646053915,82.08171567812583,,,,,,,,,,,,,,12,514,918,46.058953994057504,82.26093339794707,,,,
2,243.0,7,923,906,82.70897769750015,81.18562707901965,,,,,,,,,,,,,,14,516,920,,,,,,
3,265.3,5,866,925,77.60127268259494,82.88819541732138,,,,,,,,,,,,,,53,499,994,44.71482109539824,89.07120675115401,,,,
4,304.5,8,892,916,79.931103040271,82.08171567812583,-28.954677128657792,-5.85353875395159,-379.68136299451277,-72.57952577745309,,,,,,,,,,24,540,1008,48.38878435173357,90.32573078990266,,,,
5,314.3,10,876,913,78.49736128170112,81.81288909839398,-18.916428409821968,3.048081052336867,1126.2980512890126,-161.27412975327331,10,575,900,51.52509444860519,80.64797391955595,,,,,,,,,,,,,
6,324.6,11,877,913,78.58697014161174,81.81288909839398,6.6354138172741575,-7.238633255208033,-336.8230364098559,367.4433124471085,11,575,900,51.52509444860519,80.64797391955595,,,,,,,,,,,,,
7,341.8,11,877,913,78.58697014161174,81.81288909839398,-17.050806601340852,-3.410161320268171,1017.9586030651255,203.5917206130251,11,575,899,51.52509444860519,80.55836505964533,,,,,,,,,,,,,
8,352.1,11,877,913,78.58697014161174,81.81288909839398,1.292279128846921,0.0,-57.054266174257066,0.0,11,575,899,51.52509444860519,80.55836505964533,0.0,-1.292279128846921,0.0,57.054266174257066,,,,,,,,,
9,364.0,11,877,913,78.58697014161174,81.81288909839398,0.0,0.0,0.0,0.0,11,575,899,51.52509444860519,80.55836505964533,0.0,-1.4233502220174128,0.0,43.19727532678037,,,,,,,,,
10,375.3,11,877,913,78.58697014161174,81.81288909839398,0.0,0.0,0.0,0.0,10,575,899,51.52509444860519,80.55836505964533,0.2863449045648635,0.0,17.095218182976925,0.0,,,,,,,,,
11,397.4,11,877,913,78.58697014161174,81.81288909839398,0.0,0.0,0.0,0.0,11,575,899,51.52509444860519,80.55836505964533,0.0,0.0,0.0,0.0,,,,,,,,,
12,429.9,10,877,913,78.58697014161174,81.81288909839398,0.0,0.0,0.0,0.0,11,575,899,51.52509444860519,80.55836505964533,0.0,0.35538099660040423,0.0,10.785462719283895,,,,,,,,,
13,462.3,10,877,913,78.58697014161174,81.81288909839398,0.0,0.0,0.0,0.0,11,576,899,51.61470330851581,80.55836505964533,0.13479348982386702,0.0,-20.579158751735466,0.0,,,,,,,,,
14,494.3,11,877,913,78.58697014161174,81.81288909839398,0.0,0.0,0.0,0.0,11,575,899,51.52509444860519,80.55836505964533,0.0,0.44366261613066527,0.0,9.15712313995181,,,,,,,,,
15,530.0,11,877,913,78.58697014161174,81.81288909839398,0.0,0.0,0.0,0.0,11,575,900,51.52509444860519,80.64797391955595,0.0,-0.0044939427997016355,0.0,-17.975771198806484,,,,,,,,,
