frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,131.3,18,711,1021,63.7118993964492,91.4906459687407,,,,,,,,,,,,,,8,231,663,20.699646639352693,59.41067412073954,,,,
1,131.3,16,718,1016,64.33916141582353,91.0426016691876,,,,,,,,,,,,,,,,,,,,,,
2,234.1,22,718,1020,64.33916141582353,91.40103710883007,,,,,,,,,,,,,,12,237,756,,,,,,
3,256.3,17,721,1013,64.60798799555538,90.77377508945575,3.341022938543774,-58.99448163561706,-61.24297366889049,-852.1522336214008,,,,,,,,,,19,226,682,20.251602339799604,61.11324245904128,,,,
4,283.6,16,719,1010,64.42877027573414,90.50494850972389,7.881223322853119,-101.79710973230114,95.76956805971537,-1290.4384168308088,,,,,,,,,,27,225,670,20.161993479888988,60.03793614011387,,,,
5,293.8,10,722,971,64.69759685546599,87.0102029732098,1.935437019727076,-23.7091034916572,-136.29838167092095,1669.6551754688182,10,343,573,30.735838949341876,51.34587672878395,,,,,,,,,,,,,
6,303.8,10,722,971,64.69759685546599,87.0102029732098,0.6933084402643195,-29.118954491103292,-50.239742048139156,2110.0691660219804,10,343,574,30.735838949341876,51.43548558869457,,,,,,,,,,,,,
7,312.6,10,722,971,64.69759685546599,87.0102029732098,6.007423567827598,-78.0965063817594,-224.99713737182026,2924.9627858336867,10,343,576,30.735838949341876,51.61470330851581,,,,,,,,,,,,,
8,322.2,10,722,971,64.69759685546599,87.0102029732098,0.0,0.0,0.0,0.0,10,344,579,30.825447809252495,51.88352988824766,2.304255222211064,14.454088201922252,-59.92861436179618,-315.30711795555754,,,,,,,,,
9,331.4,10,722,971,64.69759685546599,87.0102029732098,0.0,0.0,0.0,0.0,10,345,580,30.91505666916311,51.97313874815828,4.883386046839865,15.436640705625088,-116.66736223601922,-293.0105964830313,,,,,,,,,
10,366.0,10,722,971,64.69759685546599,87.0102029732098,0.0,0.0,0.0,0.0,10,344,581,30.825447809252495,52.0627476080689,1.096947526558537,5.484737632792599,-21.764831876161445,-108.82415938080548,,,,,,,,,
11,399.1,10,722,971,64.69759685546599,87.0102029732098,0.0,0.0,0.0,0.0,10,344,581,30.825447809252495,52.0627476080689,0.0,1.3116681190254398,0.0,-26.498345838897777,,,,,,,,,
12,430.6,10,722,971,64.69759685546599,87.0102029732098,0.0,0.0,0.0,0.0,10,344,581,30.825447809252495,52.0627476080689,-0.452792948570382,0.901055731042136,9.083108296296537,-0.0455521980764174,,,,,,,,,
13,466.8,10,722,971,64.69759685546599,87.0102029732098,0.0,0.0,0.0,0.0,10,344,581,30.825447809252495,52.0627476080689,0.0,0.0,0.0,0.0,,,,,,,,,
14,498.1,10,722,971,64.69759685546599,87.0102029732098,0.0,0.0,0.0,0.0,10,344,581,30.825447809252495,52.0627476080689,0.0,0.44445632485784536,0.0,8.978915653693845,,,,,,,,,
