frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,126.2,,,,,,,,,,,,,,,,,,,25,143,3,12.814066967218334,0.26882657973185314,,,,
1,126.2,,,,,,,,,,,,,,,,,,,46,80,129,7.168708792849418,11.559542928469686,,,,
2,231.5,,,,,,,,,,,,,,,,,,,52,81,124,,,,,,
3,255.5,,,,,,,,,,,,,,,,,,,38,295,22,26.434613673632228,1.9713949180335897,,,,
4,273.5,,,,,,,,,,,,,,,,,,,17,127,1021,11.38032520864845,91.4906459687407,,,,
28,969.2,8,277,1008,24.82165419524111,90.32573078990266,,,,,,,,,,,,,,,,,,,,,,
29,1001.2,9,277,1010,24.82165419524111,90.50494850972389,,,,,,,,,,,,,,,,,,,,,,
30,1037.7,9,277,1010,24.82165419524111,90.50494850972389,,,,,,,,,,,,,,,,,,,,,,
31,1069.2,10,277,1010,24.82165419524111,90.50494850972389,-0.30260341499649895,1.312853388857875,-6.052068299929978,-9.58647618708737,,,,,,,,,,,,,,,,,,
32,1129.9,11,276,1011,24.73204533533049,90.59455736963451,-0.3047855224301366,0.3047855224301608,6.083543361878986,-6.083543361879468,,,,,,,,,,,,,,,,,,
33,1166.5,10,277,1011,24.82165419524111,90.59455736963451,0.0,-0.13940354784565748,0.0,-12.967771892619302,,,,,,,,,,,,,,,,,,
34,1198.4,11,276,1011,24.73204533533049,90.59455736963451,-0.31435052310672257,0.3143505231067475,5.870224521133948,-5.870224521134412,,,,,,,,,,,,,,,,,,
35,1230.1,11,276,1011,24.73204533533049,90.59455736963451,0.4271239638867743,0.0,8.525428420893714,0.0,,,,,,,,,,,,,,,,,,
36,1273.8,10,277,1010,24.82165419524111,90.50494850972389,0.0,0.08582985713100538,0.0,17.165971426201086,,,,,,,,,,,,,,,,,,
37,1305.5,11,276,1011,24.73204533533049,90.59455736963451,0.5173442807841059,0.0,9.66095762435306,0.0,,,,,,,,,,,,,,,,,,
38,1333.4,10,277,1011,24.82165419524111,90.59455736963451,-0.054439509106363464,-0.9499497376688941,-17.849019379134507,-18.39205687645484,8,841,1037,75.3610511848295,92.92438772731057,,,,,,,,,,,,,
39,1371.1,10,277,1011,24.82165419524111,90.59455736963451,-2.872627675888453,-2.896914447170472,-59.046817592773984,-78.47623461842059,10,860,1033,77.06361952313124,92.5659522876681,,,,,,,,,,,,,
40,1398.3,10,277,1011,24.82165419524111,90.59455736963451,-3.8395781342961404,-4.339448333722269,-103.56014760453085,-93.5225933991869,10,881,1025,78.9454055812542,91.84908140838316,,,,,,,,,,,,,
