frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,147.8,5,593,493,64.60553668935721,53.71084247530034,,,,,,,,,,,,,,,,,,,,,,,28,659,621,71.79603487063473,67.65605106929313,,,,,,,,,,,,,
1,147.8,10,592,488,64.49658974721663,53.1661077645975,,,,,,,,,,,,,,,,,,,,,,,10,444,365,48.372442310412474,39.76563388130755,,,,,,,,,,,,,
2,243.6,10,591,489,64.38764280507607,53.27505470673806,,,,,,,,,,,,,,,,,,,,,,,22,461,348,,,,,,,,,,,,,,,
3,267.0,12,595,484,64.82343057363833,52.73031999603522,-179.83015726564048,-268.60948270158053,-3047.9551357970186,-4368.852734500035,,,,,,,,,,,,,,,,,,,22,493,293,53.71084247530034,31.92145404718661,,,,,,,,,,,,,
4,287.5,12,595,485,64.82343057363833,52.83926693817579,-253.57534933880612,-375.63605519453887,-3663.778669708218,-5344.258617812829,,,,,,,,,,,,,,,,,,,16,494,294,53.81978941744091,32.03040098932718,,,,,,,,,,,,,
5,313.5,6,488,326,53.1661077645975,35.516703137825374,-39.494813272547084,-65.82942032080327,3463.2952420185507,5385.529333132161,10,487,453,53.05716082245693,49.35296478967759,,,,,9,595,485,64.82343057363833,52.83926693817579,,,,,,,,,,,,,,9,590,157,64.27869586293549,17.104669916069277,,,,
6,313.5,6,488,326,53.1661077645975,35.516703137825374,-122.77485124389726,-180.66031291926515,5501.94679264619,8151.612725137257,11,487,453,53.05716082245693,49.35296478967759,,,,,9,595,485,64.82343057363833,52.83926693817579,,,,,,,,,,,,,,9,590,156,64.27869586293549,16.995722973928707,,,,
7,323.9,6,488,327,53.1661077645975,35.62565007996594,-199.02459621515993,-294.8910464419397,6661.072797381089,9780.79756026334,10,487,454,53.05716082245693,49.46191173181816,,,,,9,595,485,64.82343057363833,52.83926693817579,,,,,,,,,,,,,,9,590,156,64.27869586293549,16.995722973928707,,,,
8,340.9,7,490,328,53.38400164887863,35.73459702210651,4.344816902690924,4.907720667767397,-263.3222365267222,-222.23437046276484,11,487,454,53.05716082245693,49.46191173181816,0.0,2.7353122164218653,0.0,-90.57325219939946,9,595,485,64.82343057363833,52.83926693817579,0.0,0.0,0.0,0.0,,,,,,,,,,9,590,156,64.27869586293549,16.995722973928707,0.0,-2.7353122164218653,0.0,90.57325219939946
9,359.0,6,489,328,53.27505470673806,35.73459702210651,0.6200581236478294,2.750580185828789,-77.99473253431827,-89.59544579246874,11,488,454,53.1661077645975,49.46191173181816,1.3752900929143945,1.3752900929143945,-44.79772289623437,-44.79772289623437,9,595,485,64.82343057363833,52.83926693817579,0.0,0.0,0.0,0.0,,,,,,,,,,9,590,157,64.27869586293549,17.104669916069277,0.0,0.6200581236478698,0.0,-77.99473253432336
