frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,135.0,4,596,477,64.93237751577891,51.96769140105124,,,,,,,,,,,,,,,,,,,,,,,33,1018,9,110.90798709909888,0.9805224792651177,,,,,,,,,,,,,
1,135.0,5,596,495,64.93237751577891,53.92873635958148,,,,,,,,,,,,,,,,,,,,,,,40,969,84,105.56958693421102,9.151543139807766,,,,,,,,,,,,,
2,233.1,4,597,495,,,,,,,,,,,,,,,,,,,,,,,,,24,1005,10,,,,,,,,,,,,,,,
3,254.4,9,593,491,64.60553668935721,53.4929485910192,,,,,,,,,,,,,,,,,,,,,,,24,1048,55,114.17639536331593,5.992081817731275,,,,,,,,,,,,,
4,278.1,7,599,478,65.25921834220061,52.07663834319181,,,,,,,,,,,,,,,,,,,,,,,21,447,336,48.69928313683418,36.60617255923106,,,,,,,,,,,,,
5,291.9,,,,,,,,,,10,510,469,55.56294049169001,51.09611586392669,,,,,9,596,485,64.93237751577891,52.83926693817579,,,,,,,,,,,,,,9,591,157,64.38764280507607,17.104669916069277,,,,
6,301.2,,,,,,,,,,11,509,469,55.45399354954944,51.09611586392669,,,,,9,596,485,64.93237751577891,52.83926693817579,,,,,,,,,,,,,,9,590,157,64.27869586293549,17.104669916069277,,,,
7,313.1,,,,,,,,,,11,509,469,55.45399354954944,51.09611586392669,,,,,9,596,485,64.93237751577891,52.83926693817579,,,,,,,,,,,,,,9,590,157,64.27869586293549,17.104669916069277,,,,
8,321.4,,,,,,,,,,11,510,470,55.56294049169001,51.20506280606726,0.0,2.402276136041959,0.0,-87.51461333486185,9,596,486,64.93237751577891,52.94821388031636,0.0,2.402276136041959,0.0,-87.51461333486185,,,,,,,,,,9,590,157,64.27869586293549,17.104669916069277,-2.402276136042116,0.0,87.51461333486755,0.0
9,331.3,,,,,,,,,,11,509,470,55.45399354954944,51.20506280606726,0.3967641072883573,2.2064395295434416,26.363063607199802,-93.89104381035935,9,596,486,64.93237751577891,52.94821388031636,0.0,2.603203636831799,0.0,-67.52798020315953,,,,,,,,,,9,590,157,64.27869586293549,17.104669916069277,0.0,0.0,0.0,0.0
10,342.3,,,,,,,,,,11,509,470,55.45399354954944,51.20506280606726,0.0,2.6204894060733537,0.0,-76.06645590924106,9,596,486,64.93237751577891,52.94821388031636,0.0,2.6204894060733537,0.0,-76.06645590924106,,,,,,,,,,9,590,157,64.27869586293549,17.104669916069277,0.0,0.0,0.0,0.0
11,376.3,,,,,,,,,,11,510,470,55.56294049169001,51.20506280606726,0.0,0.0,0.0,0.0,9,596,486,64.93237751577891,52.94821388031636,0.0,-0.3854975426842367,0.0,-14.043626327294588,,,,,,,,,,9,590,157,64.27869586293549,17.104669916069277,0.0,0.0,0.0,0.0
12,408.4,,,,,,,,,,11,510,469,55.56294049169001,51.09611586392669,0.3214074824864952,-0.3214074824864952,-28.317839866651482,28.317839866651482,9,596,486,64.93237751577891,52.94821388031636,0.0,0.0,0.0,0.0,,,,,,,,,,9,590,157,64.27869586293549,17.104669916069277,0.0,0.0,0.0,0.0
