frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,119.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,5,3.050514379935922,0.5447347107028432,,,,,,,,,,,,,
1,119.8,7,601,479,65.47711222648175,52.18558528533238,,,,,,,,,,,,,,,,,,,,,,,25,498,207,54.25557718600318,22.552017023097708,,,,,,,,,,,,,
2,211.5,5,593,493,,,,,,,,,,,,,,,,,,,,,,,,,25,511,259,,,,,,,,,,,,,,,
3,232.3,10,592,488,64.49658974721663,53.1661077645975,,,,,,,,,,,,,,,,,,,,,,,11,536,280,58.39556098734479,30.505143799359217,,,,,,,,,,,,,
4,254.9,12,595,484,64.82343057363833,52.73031999603522,,,,,,,,,,,,,,,,,,,,,,,10,536,281,58.39556098734479,30.614090741499787,,,,,,,,,,,,,
5,266.7,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,,,,,9,595,485,64.82343057363833,52.83926693817579,,,,,,,,,,,,,,,,,,,,,,
6,278.7,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,,,,,9,595,485,64.82343057363833,52.83926693817579,,,,,,,,,,,,,,,,,,,,,,
7,288.3,,,,,,,,,,11,541,643,58.940295698047635,70.05288379638563,,,,,9,595,484,64.82343057363833,52.73031999603522,,,,,,,,,,,,,,,,,,,,,,
8,300.6,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,0.0,0.0,0.0,0.0,9,595,484,64.82343057363833,52.73031999603522,0.0,-2.2251448654164436,0.0,58.326208792043126,,,,,,,,,,,,,,,,,,
9,318.9,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,0.0,0.0,0.0,0.0,9,595,484,64.82343057363833,52.73031999603522,0.36888769161097223,-1.5089438634004093,18.3526214731827,59.76015300595673,,,,,,,,,,,,,,,,,,
10,341.7,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,0.0,0.0,0.0,0.0,9,596,485,64.93237751577891,52.83926693817579,1.007532471648126,1.35457279987061,-38.67687031278793,-25.67910521081725,,,,,,,,,,,,,,,,,,
11,376.9,,,,,,,,,,11,541,643,58.940295698047635,70.05288379638563,0.4945034048176664,0.0,12.96208138447357,0.0,9,595,484,64.82343057363833,52.73031999603522,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
12,409.6,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,0.0,0.0,0.0,0.0,9,596,485,64.93237751577891,52.83926693817579,0.11279803505440669,0.11279803505439936,-23.9995819264697,-23.99958192646813,,,,,,,,,,,,,,,,,,
13,447.2,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,0.6081429839063531,0.0,11.528776946092002,0.0,9,595,485,64.82343057363833,52.83926693817579,-0.4879377266485543,-0.6081429839063531,10.326724373514368,-11.528776946092002,,,,,,,,,,,,,,,,,,
14,473.9,,,,,,,,,,10,542,643,59.049242640188204,70.05288379638563,0.03151162510522085,0.0,-22.508303646585844,0.0,9,595,484,64.82343057363833,52.73031999603522,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
15,509.7,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,0.5259253910238718,0.0,10.507999820656782,0.0,9,595,484,64.82343057363833,52.73031999603522,-0.5503714495477391,-0.024446058523831256,10.749442373979274,21.257442194635356,,,,,,,,,,,,,,,,,,
16,541.7,,,,,,,,,,11,542,643,59.049242640188204,70.05288379638563,0.5944617943500027,0.0,-11.818325931411593,0.0,9,595,484,64.82343057363833,52.73031999603522,0.0,-0.06990610275463183,0.0,22.920033690043773,,,,,,,,,,,,,,,,,,
17,573.7,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,-0.0010927454723307604,0.0,21.85490944663491,0.0,9,595,484,64.82343057363833,52.73031999603522,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
18,612.1,,,,,,,,,,10,542,643,59.049242640188204,70.05288379638563,0.5197444616588339,0.0,-10.628721097317674,0.0,9,595,485,64.82343057363833,52.83926693817579,0.0,-0.050041931661257484,0.0,-21.757361591850707,,,,,,,,,,,,,,,,,,
19,642.3,,,,,,,,,,11,542,643,59.049242640188204,70.05288379638563,0.0,0.0,0.0,0.0,9,595,485,64.82343057363833,52.83926693817579,0.0,0.0010754434874438268,0.0,-21.508869748849428,,,,,,,,,,,,,,,,,,
20,673.6,,,,,,,,,,11,542,643,59.049242640188204,70.05288379638563,0.5455527670770801,0.0,-10.9110553415416,0.0,9,595,484,64.82343057363833,52.73031999603522,0.5444622070957281,0.5444622070956926,10.900144286200765,10.900144286200055,,,,,,,,,,,,,,,,,,
21,709.9,,,,,,,,,,11,542,643,59.049242640188204,70.05288379638563,0.0,0.0,0.0,0.0,9,595,484,64.82343057363833,52.73031999603522,0.0,-0.5620673788494154,0.0,11.286493551193075,,,,,,,,,,,,,,,,,,
22,743.0,,,,,,,,,,10,542,643,59.049242640188204,70.05288379638563,-0.5574452371072359,0.0,-11.071404907790182,0.0,9,595,484,64.82343057363833,52.73031999603522,0.0,0.021922920939556632,0.0,21.92292093955673,,,,,,,,,,,,,,,,,,
23,773.6,,,,,,,,,,11,542,643,59.049242640188204,70.05288379638563,0.0,0.0,0.0,0.0,9,596,485,64.93237751577891,52.83926693817579,0.0032586323671154453,0.5455505889515287,-21.72421578077302,-10.87837664908333,,,,,,,,,,,,,,,,,,
24,809.5,,,,,,,,,,11,542,643,59.049242640188204,70.05288379638563,-0.5428280001020874,0.0,-10.900160644620227,0.0,9,595,484,64.82343057363833,52.73031999603522,0.0,0.5428280001020874,0.0,10.900160644620227,,,,,,,,,,,,,,,,,,
25,841.7,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,-0.555244335466956,0.0,11.116002712051174,0.0,9,595,485,64.82343057363833,52.83926693817579,0.5419852475473923,0.555244335466956,10.98247715394918,-11.116002712051174,,,,,,,,,,,,,,,,,,
26,873.9,,,,,,,,,,10,542,643,59.049242640188204,70.05288379638563,0.0,0.0,0.0,0.0,9,595,485,64.82343057363833,52.83926693817579,-0.006459132541359856,0.0,21.530441804532234,0.0,,,,,,,,,,,,,,,,,,
27,909.6,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,-0.544190520182665,0.0,10.87293746618711,0.0,9,595,485,64.82343057363833,52.83926693817579,0.0,0.544190520182665,0.0,-10.87293746618711,,,,,,,,,,,,,,,,,,
28,941.6,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,0.0,0.0,0.0,0.0,9,596,485,64.93237751577891,52.83926693817579,0.004349192348504096,0.0,-21.74596174251552,0.0,,,,,,,,,,,,,,,,,,
29,974.8,,,,,,,,,,11,542,643,59.049242640188204,70.05288379638563,-0.5537929856635925,0.0,-10.977066118207983,0.0,9,596,485,64.93237751577891,52.83926693817579,-0.018503808629489048,0.0,-21.76918662292925,0.0,,,,,,,,,,,,,,,,,,
30,1009.7,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,0.0,0.0,0.0,0.0,9,595,485,64.82343057363833,52.83926693817579,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
31,1041.9,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,0.0,0.0,0.0,0.0,9,595,485,64.82343057363833,52.83926693817579,-0.5474029644067177,0.0,10.74392471848319,0.0,,,,,,,,,,,,,,,,,,
32,1074.0,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,-0.5594476404948117,0.0,10.863060980481782,0.0,9,595,485,64.82343057363833,52.83926693817579,-0.5594476404948482,-0.5189294777037299,10.86306098048249,-10.462287856930033,,,,,,,,,,,,,,,,,,
33,1109.5,,,,,,,,,,10,541,643,58.940295698047635,70.05288379638563,0.0,0.0,0.0,0.0,9,595,485,64.82343057363833,52.83926693817579,0.0,-0.5441894307121541,0.0,-10.905599813870827,,,,,,,,,,,,,,,,,,
